,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-10.18691588785045,0,0.5
1,7,-3.6935483870967722,0,1.0
2,24,19.53164556962025,0,0.0
3,24,20.32467532467534,0,1.0
4,28,24.181818181818205,0,0.0
5,28,23.814814814814813,0,1.0
6,34,29.755102040816315,0,1.0
7,35,31.38095238095238,0,0.5
8,35,30.32500000000001,0,0.0
9,36,31.957446808510642,0,0.3333333333333333
10,36,31.58139534883721,0,0.0
11,36,32.0,0,0.0
12,36,24.0,0,0.0
13,102,91.0,0,0.0
14,102,90.0,0,0.0
15,102,88.0,0,0.0
16,104,92.0,0,0.0
17,110,98.0,0,0.0
18,118,106.0,0,0.0
19,118,105.0,0,0.0
20,118,97.0,0,0.0
21,118,98.0,0,0.0
22,118,97.0,0,0.0
23,118,93.0,11,0.0
