,Expectiminimax game scores,Expectiminimax scores,MCTS game scores,MCTS win rates
0,0,-10.237373737373726,0,0.3333333333333333
1,11,2.640350877192982,0,0.2857142857142857
2,18,13.458333333333332,0,0.1
3,18,12.71052631578947,0,0.23076923076923078
4,19,12.750000000000004,0,0.375
5,19,12.921052631578947,0,0.047619047619047616
6,20,9.499999999999996,0,0.0
7,20,8.791666666666668,0,0.0
8,20,9.363636363636363,0,0.0
9,20,8.441860465116278,0,0.0
10,20,7.4375,0,0.0
11,20,-4.0,13,0.0
12,35,8.0,13,0.0
13,46,21.0,13,0.0
14,58,33.0,13,0.0
15,58,29.0,13,0.14285714285714285
16,120,96.0,13,0.0
17,120,96.0,13,0.0
18,120,95.0,13,0.0
19,121,97.0,13,0.0
20,121,95.0,13,0.0
21,121,95.0,13,0.0
22,121,88.0,13,0.0
23,121,95.0,29,0.0
